phase,dataset,budget,method,comparator,mean_error_difference,difference_ci_low,difference_ci_high,relative_error_reduction,reduction_ci_low,reduction_ci_high,query_count,bootstrap_resamples,bootstrap_seed
test,cifar10_gist512,32,final,matched_single,-0.07108874953543098,-0.0949458258915385,-0.046800110570307966,0.2191679132006047,0.15372005476350595,0.27971195322147496,200,1000,20260916
test,cifar10_gist512,32,final,matched_neyman,-0.16530132493282473,-0.19645975594245946,-0.13619194368372567,0.3949191474233248,0.34286983423716694,0.4438044668349739,200,1000,20260916
test,cifar10_gist512,64,final,current_approx,-0.04093030545647853,-0.05904431570245198,-0.025104609518987665,0.19535282558956124,0.12496501678945136,0.26320430712737525,200,1000,20260916
test,cifar10_gist512,64,final,uniform_mc,-0.070618939916188,-0.09347318925247022,-0.049380985231572076,0.2952191425921178,0.22272481878685518,0.361141389053402,200,1000,20260916
test,cifar10_gist512,64,final,deann,-0.018327427644466775,-0.03269599281223597,-0.005921589611182674,0.09805114023829997,0.03160284080243297,0.16924396429607116,200,1000,20260916
test,cifar10_gist512,64,final,matched_single,-0.041932798355773133,-0.055511740186743666,-0.029333747680329064,0.19918449902138002,0.14153030161739838,0.2558627746328382,200,1000,20260916
test,cifar10_gist512,64,final,matched_neyman,-0.008949195378226216,-0.021829498784923254,0.005457532970541774,0.05040698503570973,-0.030782238115224476,0.11968965332408503,200,1000,20260916
test,cifar10_gist512,128,final,current_approx,-0.05362483760081406,-0.07329483371552066,-0.039261145125020186,0.33701074803379716,0.26920078293930977,0.4120194105345989,200,1000,20260916
test,cifar10_gist512,128,final,uniform_mc,-0.05340797941050262,-0.06586259399030421,-0.04299320034414569,0.3361059484994856,0.2839384034776721,0.39063723195859235,200,1000,20260916
test,cifar10_gist512,128,final,deann,-0.0163693775985382,-0.026486135266465646,-0.00775834156630586,0.1343253928100684,0.06568711145181319,0.2044403412178237,200,1000,20260916
test,cifar10_gist512,128,final,matched_single,-0.028550126560068768,-0.03635283371264501,-0.021094971780021152,0.21299013461020033,0.16340440762929961,0.26110746817033637,200,1000,20260916
test,cifar10_gist512,128,final,matched_neyman,0.004758867838551431,-0.0015314296412143624,0.01119770420550313,-0.0472412816298704,-0.11377572458589244,0.014959302405402365,200,1000,20260916
test,cifar10_gist512,256,final,current_approx,-0.044642208471079844,-0.05481134368347295,-0.035111002358605405,0.41377597582982306,0.35087467431492103,0.4718759521364543,200,1000,20260916
test,cifar10_gist512,256,final,uniform_mc,-0.052479088559727556,-0.06255441311981613,-0.04215951743215084,0.4534744037500996,0.39139951746380286,0.5041064679494646,200,1000,20260916
test,cifar10_gist512,256,final,deann,-0.004771420814409004,-0.010013519015714761,0.0005119401135897364,0.07014833717232494,-0.007844288544083542,0.14123401639735333,200,1000,20260916
test,cifar10_gist512,256,final,matched_single,-0.014611837350044126,-0.01965503696149356,-0.009619456341676125,0.18766945787925426,0.1287023542665685,0.24403493859125866,200,1000,20260916
test,cifar10_gist512,256,final,matched_neyman,0.004941689734180493,0.0007079073546529003,0.009355440020052803,-0.08475453320332571,-0.16896129361878928,-0.011377811776663041,200,1000,20260916
test,cifar10_gist512,512,final,current_approx,-0.03842028111162649,-0.045349511491392366,-0.032280019333176216,0.540181811969099,0.4909804664292219,0.5882097552584986,200,1000,20260916
test,cifar10_gist512,512,final,uniform_mc,-0.04560782912064653,-0.053560157775046385,-0.03816666073790914,0.5823842064197543,0.5323207204259937,0.6294893070063025,200,1000,20260916
test,cifar10_gist512,512,final,deann,-0.007648015563846094,-0.010660467038754843,-0.00489443615491697,0.18953035996530843,0.12762909694230212,0.24869636851266305,200,1000,20260916
test,cifar10_gist512,512,final,matched_single,-0.006961549280236075,-0.009545351769255073,-0.004406699161255567,0.17550423627968703,0.11701996736338614,0.22977265946986808,200,1000,20260916
test,cifar10_gist512,512,final,matched_neyman,0.00341341170905867,0.0013399763597646186,0.005253069782760662,-0.11653437332193328,-0.18863864452350898,-0.044987820374076795,200,1000,20260916
test,isolet,32,final,current_approx,-0.19101095002135143,-0.23646616225765588,-0.14818210166290488,0.35171242258239743,0.2897960907851149,0.4078739182147841,200,1000,20260916
test,isolet,32,final,uniform_mc,-0.2134304562240031,-0.2671639261107929,-0.16704580138836456,0.37741371913440847,0.3118293254291353,0.44039556992316037,200,1000,20260916
test,isolet,32,final,deann,-0.018489152228339176,-0.049966908431261704,0.01608584902468366,0.04989427068807628,-0.04458304861262283,0.13053723839221457,200,1000,20260916
test,isolet,32,final,matched_single,-0.08838006741906873,-0.12372257046726173,-0.05312710288851648,0.2006551288337105,0.1233823672092174,0.27139180899452175,200,1000,20260916
test,isolet,32,final,matched_neyman,-0.20514912507239413,-0.25600960886643936,-0.15838523276441685,0.3681610326216267,0.3029375531273107,0.42881973598106726,200,1000,20260916
test,isolet,64,final,current_approx,-0.17925970548334427,-0.21855897145969852,-0.14330853251600126,0.4606073361092995,0.39682414055405435,0.5185970199631283,200,1000,20260916
test,isolet,64,final,uniform_mc,-0.2291500370339603,-0.2822174959262087,-0.18281749220451327,0.5218968488104379,0.458354034861212,0.5802777894707059,200,1000,20260916
test,isolet,64,final,deann,0.019712391196522544,0.0033564682024884982,0.03792380633457177,-0.10363538428349672,-0.20702123406692732,-0.0166499142960801,200,1000,20260916
test,isolet,64,final,matched_single,-0.05732786163336389,-0.07292284035262495,-0.04016314258091965,0.21451077473816693,0.1564254329000201,0.26421364468261055,200,1000,20260916
test,isolet,64,final,matched_neyman,0.004675139655250913,-0.008592982004314154,0.01992379309586496,-0.02277818852561686,-0.10095759247300115,0.040212444134418136,200,1000,20260916
test,isolet,128,final,current_approx,-0.16368195600652158,-0.1878096028415209,-0.1420595229370263,0.5980149406416857,0.5561441760935462,0.6371589048145715,200,1000,20260916
test,isolet,128,final,uniform_mc,-0.1972087622556492,-0.22581098215857384,-0.16954365788505205,0.6418811938244893,0.6029947529990346,0.6790860232184667,200,1000,20260916
