dataset,phase,n,method,time_cap_ms,attained,budget,error
cifar10,audit,1800,official_T,1.0,True,512.0,0.07961351341814599
cifar10,audit,1800,official_T,2.0,True,512.0,0.07961351341814599
cifar10,audit,1800,official_T,4.0,True,512.0,0.07961351341814599
cifar10,audit,1800,projected_current,0.125,False,,
cifar10,audit,1800,projected_current,0.25,False,,
cifar10,audit,1800,projected_current,0.5,True,32.0,0.3029170753414137
cifar10,audit,1800,projected_current,1.0,True,128.0,0.1159845074998871
cifar10,audit,1800,projected_current,2.0,True,512.0,0.026022230179695485
cifar10,audit,1800,projected_current,4.0,True,512.0,0.026022230179695485
cifar10,audit,1800,projected_fast,0.125,False,,
cifar10,audit,1800,projected_fast,0.25,False,,
cifar10,audit,1800,projected_fast,0.5,True,32.0,0.3125336723773644
cifar10,audit,1800,projected_fast,1.0,True,128.0,0.11337852240394625
cifar10,audit,1800,projected_fast,2.0,True,512.0,0.027108668724909434
cifar10,audit,1800,projected_fast,4.0,True,512.0,0.027108668724909434
cifar10,audit,1800,uniform_mc,0.125,False,,
cifar10,audit,1800,uniform_mc,0.25,True,32.0,0.42371922038867643
cifar10,audit,1800,uniform_mc,0.5,True,128.0,0.22211339265072141
cifar10,audit,1800,uniform_mc,1.0,True,256.0,0.1541218866706436
cifar10,audit,1800,uniform_mc,2.0,True,512.0,0.09803076089927817
cifar10,audit,1800,uniform_mc,4.0,True,512.0,0.09803076089927817
cifar10,test,1800,ann_E_multi,0.125,False,,
cifar10,test,1800,ann_E_multi,0.25,False,,
cifar10,test,1800,ann_E_multi,0.5,False,,
cifar10,test,1800,ann_E_multi,1.0,False,,
cifar10,test,1800,ann_E_multi,2.0,True,64.0,0.13909900670091832
cifar10,test,1800,ann_E_multi,4.0,True,512.0,0.008915968735236908
cifar10,test,1800,ann_E_single,0.125,False,,
cifar10,test,1800,ann_E_single,0.25,False,,
cifar10,test,1800,ann_E_single,0.5,False,,
cifar10,test,1800,ann_E_single,1.0,False,,
cifar10,test,1800,ann_E_single,2.0,True,128.0,0.10007787275257556
cifar10,test,1800,ann_E_single,4.0,True,512.0,0.012733092537355656
cifar10,test,1800,ann_T_multi,0.125,False,,
cifar10,test,1800,ann_T_multi,0.25,False,,
cifar10,test,1800,ann_T_multi,0.5,False,,
cifar10,test,1800,ann_T_multi,1.0,True,64.0,0.20634909245468136
cifar10,test,1800,ann_T_multi,2.0,True,256.0,0.10209654552536733
cifar10,test,1800,ann_T_multi,4.0,True,512.0,0.06103548894248359
cifar10,test,1800,ann_T_single,0.125,False,,
cifar10,test,1800,ann_T_single,0.25,False,,
cifar10,test,1800,ann_T_single,0.5,True,32.0,0.38990161516128696
cifar10,test,1800,ann_T_single,1.0,True,128.0,0.18123217632189625
cifar10,test,1800,ann_T_single,2.0,True,512.0,0.08053602689042616
cifar10,test,1800,ann_T_single,4.0,True,512.0,0.08053602689042616
cifar10,test,1800,exact,0.125,False,,
cifar10,test,1800,exact,0.25,False,,
cifar10,test,1800,exact,0.5,False,,
cifar10,test,1800,exact,1.0,False,,
cifar10,test,1800,exact,2.0,False,,
cifar10,test,1800,exact,4.0,True,0.0,0.0
cifar10,test,1800,exact_annular,0.125,False,,
cifar10,test,1800,exact_annular,0.25,False,,
cifar10,test,1800,exact_annular,0.5,False,,
cifar10,test,1800,exact_annular,1.0,False,,
